,last_scraped,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,property_type,room_type,bathrooms_text,price,has_availability,calendar_last_scraped,first_review,last_review,license,instant_bookable,id,host_id,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_90,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_location,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
12,2024-09-28,Hanne,2012-03-22,"Oslo, Norway",within an hour,100%,78%,f,t,t,Entire condo,Entire home/apt,1 bath,"$1,214.00",t,2024-09-28,2015-07-20,2024-08-05,no reviews,f,397657,1986686,1.0,1.0,2.0,1.0,1.0,1.0,3.0,30.0,1.0,3.0,30.0,30.0,3.0,30.0,8,8,23.0,5.0,0.0,4.61,4.61,4.52,4.65,4.83,1.0,0.0,0.0,0.21
13,2024-09-28,Marius,2012-03-28,"Oslo, Norway",within an hour,100%,0%,f,t,t,Entire condo,Entire home/apt,1 bath,$0.00,t,2024-09-28,2017-07-23,2022-07-21,no reviews,f,405953,2023264,1.0,1.0,6.0,1.0,3.0,0.0,4.0,21.0,4.0,4.0,187.4,188.8,4.0,189.2,0,55,8.0,0.0,0.0,5.0,5.0,4.88,4.75,4.75,1.0,0.0,0.0,0.09
14,2024-09-28,Volkolas,2012-05-15,"Oslo, Norway",within a day,100%,0%,f,t,t,Entire rental unit,Entire home/apt,1 bath,$0.00,t,2024-09-28,2012-08-05,2019-11-08,no reviews,f,500008,2381047,1.0,3.0,2.0,1.0,1.0,0.0,2.0,90.0,2.0,2.0,90.0,90.0,2.0,90.0,0,0,7.2,0.0,0.0,4.74,4.8,4.84,4.87,4.58,1.0,0.0,0.0,0.7
15,2024-09-28,Jarle,2012-05-28,"Oslo, Norway",within a few hours,100%,93%,t,t,t,Entire condo,Entire home/apt,1 bath,"$1,950.00",t,2024-09-28,2013-05-21,2024-09-22,no reviews,f,503782,2484478,1.0,1.0,5.0,1.0,3.0,1.2,3.0,30.0,2.0,3.0,30.0,30.0,3.0,30.0,2,2,7.2,13.0,0.3,4.75,4.78,4.39,4.8,4.93,1.0,0.0,0.0,0.3
16,2024-09-28,Bent,2012-07-12,"Oslo, Norway",within an hour,100%,33%,f,t,t,Entire rental unit,Entire home/apt,1 bath,$740.00,t,2024-09-28,2012-08-16,2023-12-23,no reviews,f,590834,2914938,1.0,1.0,2.0,1.0,1.0,1.0,2.1,200.0,2.3,2.7,200.0,200.0,2.4,200.0,11,43,8.0,1.0,0.0,4.63,4.63,4.38,5.0,4.63,1.0,0.0,0.0,0.05
17,2024-09-28,Elin Killie,2011-10-10,"Oslo, Norway",within a day,100%,67%,f,t,f,Entire loft,Entire home/apt,1 bath,"$1,575.00",t,2024-09-28,2013-06-08,2024-07-11,no reviews,f,613873,1272535,1.0,1.0,2.0,1.0,1.0,1.0,1.0,185.9,1.0,1.0,187.4,188.8,1.0,189.2,27,87,26.0,2.0,0.0,4.88,4.92,4.62,5.0,4.96,1.0,0.0,0.0,0.19
18,2024-09-28,Merete,2012-08-05,"Oslo, Norway",within a day,100%,100%,t,t,t,Private room in condo,Private room,1 shared bath,$0.00,t,2024-09-28,2012-08-13,2023-10-21,no reviews,f,634884,3162475,2.0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,0,0,7.2,1.0,0.0,4.89,4.89,4.97,4.95,4.77,1.0,0.0,0.0,1.99
19,2024-09-28,Kjersti,2012-05-21,"Oslo, Norway",within a day,100%,33%,f,t,t,Entire condo,Entire home/apt,1 bath,"$1,900.00",t,2024-09-28,2023-08-20,2023-12-27,no reviews,f,724117,2425978,1.0,1.0,4.0,1.0,3.0,3.0,2.0,30.0,2.0,2.0,30.0,30.0,2.0,30.0,1,17,2.0,1.0,0.0,4.5,5.0,4.0,4.5,4.5,1.0,0.0,0.0,0.15
20,2024-09-28,Christian,2012-08-27,"Oslo, Norway",within a few hours,83%,85%,f,t,t,Private room in loft,Private room,1 private bath,$0.00,t,2024-09-28,2012-12-01,2024-08-17,no reviews,f,739069,3389744,1.0,1.0,2.0,1.0,1.0,0.0,1.0,185.9,1.0,1.0,187.4,188.8,1.0,189.2,0,0,17.0,11.0,0.0,4.94,4.94,4.94,4.94,4.82,1.0,0.0,0.0,0.12
21,2024-09-28,Per Martin,2012-10-28,"Oslo, Norway",within an hour,100%,100%,t,t,t,Private room in rental unit,Private room,1 shared bath,"$1,429.00",t,2024-09-28,2012-12-15,2024-09-12,no reviews,t,760266,3996622,1.0,1.4,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,187.4,188.8,1.0,189.2,26,82,7.2,3.3,0.3,4.71,4.77,4.71,4.85,4.73,1.0,0.0,0.0,1.0
22,2024-09-28,Mona Johanne,2012-10-30,"Oslo, Norway",within an hour,100%,99%,t,t,t,Private room in condo,Private room,1 shared bath,$461.00,t,2024-09-28,2012-12-12,2024-09-24,no reviews,f,761018,4011871,2.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,5.0,1.0,5.0,5,33,7.2,3.3,0.3,4.88,4.91,4.8,4.9,4.92,1.0,0.0,0.0,1.0
23,2024-09-28,Gangadai,2011-11-08,"Oslo, Norway",within a day,100%,86%,f,t,t,Entire rental unit,Entire home/apt,1 bath,"$3,393.00",t,2024-09-28,2012-12-03,2024-08-15,no reviews,f,773722,1386261,1.3,1.4,3.2,1.0,1.4,1.2,1.0,365.0,1.0,1.0,365.0,365.0,1.0,365.0,29,85,7.2,9.0,0.0,4.63,4.71,4.44,4.79,4.77,1.0,0.0,0.0,0.81
24,2024-09-28,Torbjørn,2012-10-13,"Leirfjord, Norway",within an hour,100%,97%,t,t,t,Entire rental unit,Entire home/apt,1 bath,"$1,000.00",t,2024-09-28,2013-02-16,2024-05-28,no reviews,f,789864,3854740,3.0,1.4,2.0,1.0,1.0,1.0,2.1,720.0,2.3,2.7,720.0,720.0,2.4,720.0,0,0,27.0,1.0,0.0,4.74,4.74,4.33,4.42,4.96,1.0,0.0,0.0,0.19
25,2024-09-28,Tove,2013-01-03,"Oslo, Norway",within a few hours,100%,100%,f,t,f,Entire condo,Entire home/apt,1 bath,"$1,800.00",t,2024-09-28,2015-06-03,2024-08-25,no reviews,f,869173,4578764,1.0,1.0,2.0,1.0,1.0,1.0,2.0,185.9,2.0,2.0,187.4,188.8,2.0,189.2,28,88,20.0,4.0,0.0,4.95,4.95,5.0,4.95,4.85,1.0,0.0,0.0,0.18
26,2024-09-28,Arild & Trine,2012-12-28,"Oslo, Norway",within an hour,100%,100%,t,t,t,Entire rental unit,Entire home/apt,1 bath,$0.00,t,2024-09-28,2013-03-31,2024-08-04,no reviews,f,921279,4515346,1.0,2.0,3.0,1.0,1.0,0.0,2.1,185.9,2.3,2.7,187.4,188.8,2.4,189.2,0,0,7.2,7.0,0.0,4.82,4.77,4.86,4.98,4.87,1.0,0.0,0.0,0.66
